 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
319. ;deux ;°bá ;bà;báà;í-bá ;bá ;bá ; ;ɓā ;m-ba / biba ;bá ;bí-bá ;*bàdɩ́ ; ; ;;;;
320. ;devant ;°sóK ;;sɔ́ɔ̀;pɛ̀sók ;ʃúʃwóɡ ; ;ʃwóɡ ; ;swəˤ ; ;ʃûʔ ; ; ; ;;;;
321. ;devinette ;°pila ;;n-lâ̰ / minlâ̰;pìlɔ̀ɔ̀; ;pílé / mìpílé ;fə́là / ìfə́là; ; ; ; ; ; ; ;;;;
322. ;diarrhée ;°kúmbalo ;;n-kúmbɔ̀lɔ́ / minkúmbɔ̀lɔ́; ; ;nkúmlò / mènkúmlò ;nkúmbál / ìnkúmbál ; ;mpfumbia (mwɔ);nkûmlò ; ; ; ; ;;;;
323. ;Dieu ;°(N-)ɟàmbÍ ;zàmbé / bə̀zàmbé;nzàmbí / banzàmbí;zɛ̌b / bɛ̀zɛ̌b;ncììmbé ;nzjɛ̌m ; ;ncàmbē ;nzambi ;nsɛ̌m; ;*jàmbé ; ; ;;;;
324. ;dire 1 ;°lVŋ ;làbə̀;láwɔ;ɛ̀-lɛ́ɛ̀ ;lə̀ŋ ;è-lɛ́ɛ̀  ; ;à-lāɛ̀ ;lee ; ;lɛ́; ; ; ;;;;
325. ;dire 2 ;°kè ;kè;kì; ; ;è-cɩ̀ ;cì ;à-kè ;ki ;lè-kè ; ; ; ; ;;;;
326. ;disette ;°(N-)ɟáŋ ;;;zɛ́ŋ / mɛ̀zɛ́ŋ; ; ;sáɲ ;ncāāŋ ; ; ; ; ; ; ;;;;
327. ;disparaître ;°dímbÌ ;;;ɛ̀-dîb ;dîm ; ;ɟímb ;à-dīmbì ; ; ; ;*dím ; ; ;Possible de faire un cognat avec swo et gyeli;;;
328. ;dispute ;°ɡô ;;;ɛ̀-wɔ̂ ;lè-wɔ̀ / mòwɔ̀ ;è-ɡô / mèɡô ; ; ; ;lè-ɡʊ̂ ; ; ; ; ;;;;
329. ;dix 1 ;°kámÁ ;;;kám ; ;kám ; ;kāāmɔ̄ ; ; ; ;*kámá ; ; ;;;;
330. ;dix 2 ;°wûm ;wúm / màwúm;le-wúmɔ̀ / mawúmɔ̀; ;è-wúm / mòwúm ; ; ; ;wum ;ɩ̀-wʊ̂m; ;*kʊ́mì; ; ;;;;
331. ;doigt ;°ɟìná ;ì-zènə̄ / bìzènə̄;vìnɔ́ / bevìnɔ́;ɟǐn / b̥în ;jìnɔ́ ;ɟìné / mpìné ;ɲìnə́ / ìɲìnə́;ɟìnɔ̄ ;zina / bizina ;ɟìnó ;zìnə́ / bìzìnə́; ; ; ;;;;
332. ;donner ;°ɟɛ̀(À) ;;kìya;ɛ̀-ɟɛ̀ ;jò ;è-ɟwè ;jə̀ ;à-jɛ̀ ; ; ; ; ; ; ;;;;
333. ;dormir, se coucher;°ɟá ;;dyâ (sí) ;ɛ̀-ɟâɡò ;ɟá ;è-ɟâ ;ɟâ ;à-ɟâ ; ;lè-ɟâ ;ɟà ;*dáad ; ; ;;;;
334. ;dos ;°kɔ̀ŋ ;ŋ̀-kwɔ̂ŋ / mìŋkwɔ̂ŋ;n-kɔ̰̂ / minkɔ̰̂;kòŋ / mìkòŋ ;kwɔ̀ŋ / mèkwɔ̀ŋ ;kòò / mìkòò ; ;kɔ̄ɔ̀ŋ;kwɔŋ / mikwɔŋ ;kòò ;kò  / bìkò  ;*ɡònɡò ; ; ;;;;
335. ;dot ;°(N-)kwálÀ ;ŋɟə́lə̀ / màŋɟə́lə̀;;ɛ̀-g̥ɥál; ;è-ncwɛ́l / mèncwɛ́l;ncál / mə̀ncál;à-ncɔ̄lɔ̀ ; ; ; ; ; ; ;;;;
336. ;doter ;°kwâlÀ ;kyə́lə̀;;ɛ̀-kɥâl ; ;è-cwɛ̂l; ;à-cɔ̄lɔ̀; ;lè-cwɛ̂l; ; ; ; ;;;;
337. ;droite ;°ɟómV̀ ;ì-ndùm;; ; ;è-ɟʊ̂m / mèɟʊ̂m ; ;à-ɡwōmɔ̄ ;ma-ɟum ;lè-ɟʊ̂m;mə̀-ɡùmì ;(*dʊ́mè); ; ;;;;
338. ;dur, fort ;°alÌ ;lə̀lə̀;;ɛ̀-ljèl / mɛ̀ljèl ;làl ;lɩ́l / bìlɩ́l;làl ;lèlāā ; ;lè-ljèl ;mə̀-lìlə̀;*kádɩ̀ ; ; ;;;;
339. ;durer ;°bV̀V̀ ;bùyà;; ; ;è-bjéà ;bwèj ;à-ɓɔ̀ɛ̀; ;lè-bwɩ̀à; ; ; ; ;;;;
340. ;eau ;°díbÓ ;mà-dvúè;ma-jíwɔ́;mɛ̀-díí ;díbɔ́ / mòdíbɔ́ ;mè-díbé / mèntíbé ;mə̀-ɟíwó;mɛ̀-dībɔ̄;ma-dziɔ ;mè-díbó ;mə̀-dzúə́; ;*díbá (ABCJ); ;;;;
341. ;écaille ;°pàpâ ;ì-pə̀pá / bìpə̀pá;;pàpâ / ìpàpâ ;fə̀fâ / bə̀fə̀fâ ;pàpâ / bìpàpâ ; ; ; ;bì-pàbáà ; ; ; ; ;;;;
342. ;échouer ;°kù ;kfwə̀;kwê; ;kù;è-kù ; ; ;cu ;lè-kù ; ; ; ; ;;;;
343. ;éclair ;°ɟàsV̀;;;nɡɥɛ̀s / mìnɡɥɛ̀s;nɟòz / mènɟòz ;è-ɟwèh ;n-ɟòs / mìnɟòs ; ;ɲ-jɛ̀sɛ̌ (nɡal) / miɲjɛ̀sɛ̌ minɡal ;n-ɟwèh ; ; ; ; ;;;;
344. ;éclair, tonnerre ;°(N-)ɡɛ̂l ;ŋ̀-ɡálè (ɡvə̀ə̄) / bə̀ŋɡálé bə́mbvə̀ə̄;ngálɛ̀ / bangálɛ̀;g̥ɛ̂l / bɛ̀g̥ɛ̂l;nkɔ́l (ɟwôp); ;nkɛ̂l / ònkɛ̂l; ;nɡal / bɔnɡal ;nkɛ̂l (ɟwôb);ǹ-káʔálì / bə̀nkáʔálì;*jàdí ; ; ;;;;
345. ;éclater ;°tólÌ ;túlì;; ; ; ; ;à-tōlì ;tulaˤ ;lè-twɩ̂l; ; ; ; ;Le mot en gyeli veut dire 'casser' dans les autres langues;;;
346. ;écoper, pêcher à la corbeille ;°lóKà ;lwɔ́ʔ;;ɛ̀-lwâ ;lwɔ̂ɡ ;è-lóʔò ; ; ; ;lè-lwóʔ ; ; ;*tʊ́ɡ (ABCDL); ;;;;
347. ;écorce ;°pɔK ;;páKá / bapáKá;pɔ́k / ìpɔ́k ; ;pɔ̂ʔ / mìpɔ̂ʔ;ápàɡ / wàápàɡ ; ;paˤ / bipaˤ ; ; ; ; ; ;;;;
348. ;écraser ;°sìà ;;;ɛ̀-ʃìì  ; ;è-sìè ; ; ; ;lè-sjóólô ; ; ; ; ;;;;
349. ;écraser, moudre ;°kɔ̀Kà ;kwàʔ;kwà; ;kwàɡ ;è-kwàh ; ;à-kɔ̀ɡɔ̀ ;kwaˤ ;n-kǒʔ ;kwàʔ ; ;*ɡòɡ (ADJ) ; ;;;;
350. ;écrire ;°tìlà ;tsə̀lì;tsìlɔ; ;tíl ;è-tìlè ;cìlə̀ ;à-cɔ̀lì; ;lè-tìlò ;tsílá ; ; ; ;;;;
351. ;écureuil à quatre raies ;°sénɟÍ ;;síngí / besíngí;séz / ìséz ;sínɟ / bèsínɟ ;sǿh / bìsǿh ; ; ;sindi / bisindi ;swɩ́hɩ́;ʃìnɡì / bìʃìnɡì ;*cɩ́ndɩ́; ; ;gyeli : terme générique;;;
352. ;écureuil ɡéant de Stanger ;°(N-)bǒK ;;mpǒ / bampǒ;b̥òk / bɛ̀b̥òk ;mpùùɡ / bòmpùùɡ ;mpʊ̌ʔ / òmpʊ̌ʔ ; ; ; ; ; ; ;*bʊ̀ɡɩ́ (ACH);°-bòkó, °bòɡó ;;;;
353. ;éduquer, conseiller ;°lÍà ;;;ɛ̀-ljô ;lwɔ̂ ;è-lɩ̂ ; ; ;liɔ ;lè-lɩ̂ ; ; ;*dɩ́b (A); ;;;;
354. ;éléphant ;°(N-)ɟɔ̀KÌ ;ʒwɔ̀ʔ / bə̀ʒwɔ̀ʔ;njɔ́Kɔ̀ / banjɔ́Kɔ̀;zòk / bɛ̀zòk ;ncwòɡ / bòncwòɡ ;nzòʔ / ònzòʔ ;ʒwòɡ / òʒwòɡ ;ncɔ̀ɡì ;nzwəˤ / bɔnzwəˤ ;nsòʔ ;ǹ-ʒwə̀ʔ ~ ǹʃə̀ʔ / bə̀nʃə̀ʔ;*jòɡù ; ; ;;;;
355. ;émoussé ;°tín(V̀) ;tfə́nə̀;;tínlà ; ;è-twîn ; ; ; ;lè-twîn ;mjámínɡálì  ; ;*túùn (AC) ; ;;;;
356. ;emprunter ;°(ɡ-)wîŋ ;;kùlɛ;ɛ̀-ɡɥî ; ;è-ɟwíì ; ;à-wîŋ ; ; ; ; ; ; ;Possible de faire un cognat entre swo et gyeli;;;
357. ;endroit ;°dí ;;;dí / ìdí ; ; ; ;ɓàndì ; ; ;dzí / bìdzí ;*tɩ́ ; ; ;;;;
358. ;enfant 1 ;°ɔ́nà ;m-wánə̀ / bwánə̀;m-wánɔ̀ / bwánɔ̀;m-ɔ́n / bɔ́n ; ;m-wân / bwân ; ;m-ɔ̄nɔ̀;m-ua / bwaŋ ;m-wɔ̂n;múò  ;*jánà ; ; ;;;;
359. ;enfant 2 ;°káKV́ ;;; ;káɡ / bèkáɡ ; ;káɡə́ / ìkáɡə́;kɛ̄ɛ̄; ;kwìì ; ; ; ; ;;;;
360. ;enlever ;°dùs(ì) ;;;ɛ̀-dùs ; ; ; ;à-dùì ; ;lè-dwìh ; ; ; ; ;Possible de faire un cognat entre swo et gyeli;;;
361. ;ennemi ;°(N-)ɟínɡ ;ǹ-zə́zə̀ŋ / mìnzə́zə̀ŋ;; ;ncíncɔ́ŋ / mòncíncɔ́ŋ ;n-zwínzwíí / mìnzwí-nzwíí ;n-ɟínɟánz / mìnɟínɟánz ; ; ;n-sínsíŋ ; ; ; ; ;;;;
362. ;enrouler ;°pílà ;pfílə̀;; ; ;è-pílè ;fílə̀ ; ; ;lè-pílô ; ; ; ; ;gyeli : 'turn, return, roll something';;;
363. ;enseigner ;°ɟÉɡàlÀ ;yə́ʔə̀lə̀;gyíkɛsɛ;ɛ̀-jɛ́kɛ̀lɛ̀ ;ɟíɡə̀lè ;è-jêʔlè ; ; ;ɡiɡ ; ;jə́ɡə̀lə̀; ; ; ;;;;
364. ;entendre, comprendre ;°ɟóKà ;ɡwɔ́ʔ;dyúwɔ ;ɛ̀-ɡwâ ;ɟwôɡ ;è-ɟóʔò ;ɡwáɡ ;à-ɡwōɡɔ̀ ;ɡwəˤlɛ ;lè-ɟúɟwòʔ ;ɡwâʔ  ; ; ; ;;;;
365. ;enterrement ;°dèlá ;ì-dèlā / bìdèlā;ma-dìlá;ɛ̀-dèlá / mɛ̀dèlá ;ndèlá ;dɩ̀lá / bìdɩ̀lá ;mə̀-də̀ljà; ; ;dɩlá ; ; ; ; ;;;;
366. ;enterrer ;°dèlI ;dèlì;dìlɛ̀;ɛ̀-dêl ;dèl ;è-dɩ̀l ;də̀l;à-ɗèlì ;dil ;lè-dɩ̀l; ; ; ; ;;;;
367. ;entier ;°(N-)ɟìndî ;;ma-njìmɔ̀; ; ;ntìnɩ̂ ;ncìndî / òncìndî;ntìndī ; ;ntìnɩ̂ ; ; ; ; ;;;;
368. ;entre ;°páKV ;péʔə̀ɾá;;páktà ;fáɡə́rá / mpáɡə́rá ;páʔ ; ;pɔ̀ɡì ;paˤla ;páʔá ; ; ; ; ;;;;
369. ;entrer 1 ;°níà ;ɲíì;nyî;ɛ̀-nî ;nî ;è-nî ;ɲî ;à-nî ;nii ;lè-nî ;níà  ; ; ; ;;;;
370. ;entrer 2 ;°ɲínɡàlà ;ɲíŋɡə̀lə̀;; ;níìnɡ ;è-níŋlè ;ɲínɡàl ; ; ; ; ;*jínɡɩd ; ; ;;;;
371. ;envelopper ;°ɡólà ;wúlə̀;;ɛ̀-wôl ;wə̂l ; ;wóòlə̀ ; ; ; ; ;*ɡàd ; ; ;;;;
372. ;envoyer 1 ;°kènd ;;;ɛ̀-cèd ;kènd ;è-cjèn ;kə̀nd; ; ;lè-kèn ; ; ; ; ;;;;
373. ;envoyer 2 ;°lómbàlÀ ;lúmì / lúmà;lúmɛ;ɛ̀-lwôm ;lwɔ́mbə̀lɔ̀;è-lómlò ; ;à-lōmɔ̂ ;lumlɛ ;lè-lwómlô ;lúmə́lə̀;*tʊ́m; ; ;;;;
374. ;envoyer 3 ;°tènɟ ;;; ; ;è-ntɩ̀h;ntìʃ ;à-ntèè ; ;lè-ntɩ̀h; ; ; ; ;;;;
375. ;épais ;°pípà ;;bíbɔ̀;ɛ̀-pîp / mɛ̀píp ; ;è-pìbè ;fìfə̀ ;pìbāā ;bviɔ ;lè-pìbò ; ; ; ; ;;;;
376. ;épaule 1 ;°bɛ̀K(à) ;ì-bə̀ʔ / bìbə̀ʔ;bɛ̀Kɛ̀ / mabɛ̀Kɛ̀ ;bjà / mɛ̀bjà ;è-bààɡ / mòbààɡ ; ;bàɡ / mə̀bàɡ; ;biaˤ / mabiaˤ ;bjɛ̀ʔ; ;*bèɡà ; ; ;;;;
377. ;épaule 2 ;°bɛ̂nɟ ;;;ɛ̀-bɛ̂z / mɛ̀bɛ̂z ; ;è-bɛ̂h / mèbɛ̂h; ; ; ;le-bɛh ; ; ; ; ;;;;
378. ;épervier (oiseau) ;°bénÌ ;;; ; ;è-bɛ̀n / mèbɛ̀n; ;mɓjēnì ; ;lè-bjɛ̀n; ; ;*bɩ̀nɡá (ABC); ;;;;
379. ;épine ;°ɟɔ̀KV́ ;ɡwàʔā / màɡwàʔā;dyùwá / bedyùwá;ɛ̀-ɡwǎ / mɛ̀ɡwǎ ; ;è-ɟwǎʔ / mèɟwǎʔ ; ;à-ɡwɔ̌ ; ;lè-ɟwɔ̀ʔɔ́;ɡwáʔ / bìɡwáʔ ; ; ; ;;;;
380. ;éplucher ;°sâl ;;;ɛ̀-swâ ;sâl ; ;sád ; ; ; ; ; ; ; ;;;;
381. ;épluchure ;°bòndV́ ;ì-bùndū / bìbùndū;bùdɛ́ / bebùdɛ́;bód / b̥ód ;bùùnd / mpùùnd ; ;bùùndú / ìbùùndú ; ;bur (pful) / bibur ;m-pʊ̌n; ; ; ; ;Semble être le même mot que 'coquille' dans plusieurs langues;;;
382. ;épouse 1 ;°àlí ;;;mj-ɛ̌l / bɛ̌l; ;myàá; ;mjàlī ; ;mwɛľ ; ;*jàdɩ́ ; ; ;;;;
383. ;épouse 2 ;°ǎ ;;; ; ;mjàá ; ;mjǎ ; ;mwáá ; ;*jàdɩ́ ; ; ;;;;
384. ;épouser ;°bâ ;bá;bâ;ɛ̀-bâ ;bâ ;è-bâ ;bá ;à-ɓâ ;bana ;lè-bâ ;bà ; ;*bád (ABCHL); ;;;;
385. ;escargot ;°(N-)ɡɔ́là ;ŋɡwálà / bə̀ŋɡwálà;ngwálà / bangwálà;g̥ɔ̂l / bɛ̀g̥ɔ̂l;nkwâl / bònkwâl;nkwâl-pǐ / ònkwâl-pǐ ;nkwâl / ònkwâl ;nkɔ̀lɔ̀;nɡwala / bɔnɡwala;nkwɔ̂l; ;*kódá ; ; ;;;;
386. ;escargot sp ;°(N-)dàlV́ ;;; ; ;ántǎl / bàántǎl ;ntààlɛ́ / òntààlɛ́;ntàlɔ̄ ; ;á-ntǎl ; ; ; ; ;;;;
387. ;esclave ;°kɔ́m;;;kwóm / mìkwóm ;kwɔ́m / mə̀kwɔ́m ; ; ; ; ;ɩ̀-kwóm; ; ; ; ;;;;
388. ;espérer ;°búKàlà ;;; ;búɡə̀là ;è-bûʔlà ;búɡə̀là; ;bvaˤla ;lè-búʔlâ ; ; ; ; ;;;;
389. ;espoir 1 ;°búnɡó ;;;mɛ̀-bún ;búɡó ;búʔó / bìbúʔó ; ; ; ;búɡó ; ; ; ; ;;;;
390. ;espoir 2 ;°bûK ;;; ; ;mpûʔlà / mèmpûʔlà ; ; ;bvaa ;bì-búʔlâ ; ; ; ; ;;;;
391. ;esprit, fantôme ;°dîm ;;;dîm / ìdîm ; ;n-dîm / mìndîm ;n-ɟîm / mìnɟîm ; ; ;n-dîm ; ;*dímʊ̀ ; ; ;;;;
392. ;essayer ;°kìK(à) ;;kìyɛ; ;kə̀ɡ ; ;kàɡ ; ;kiəˤ ; ; ; ; ; ;;;;
393. ;essuyer 1 ;°pímbV̀ ;fímì;pímbɛ; ; ;è-pîm ; ; ;pfimbi ;lè-fîm ;kfə̀mbíà; ; ; ;;;;
394. ;essuyer 2 ;°tìnd ;tsə̀ŋɡə̀là;;ɛ̀-súŋàl ; ;è-tìn ;cìnd ; ;tsindala ;lè-tìn ; ; ; ; ;;;;
395. ;étagère, grenier ;°tâŋ ;;;táà / ìtáà ; ; ;tô / ìtô;tâŋ ; ; ; ; ; ; ;;;;
396. ;étaler ;°ɟànɟ ;ɟɛ̀ŋɡì;;ɛ̀-ɟà ; ;è-ɟàn ;ɟɛ̀nʒ; ; ; ; ;*jànj (CDEJMNR); ; ;;;;
397. ;étang, lac ;°toɡo ;twɔ́ʔə́ / màtwɔ́ʔə́;m-bàdɔ́ / mimbàdɔ́;tòk / ìtòk ;è-tûɡ (cínd);tóʔ / bìtóʔ ;còɡú / ìcòɡú ; ; ; ; ; ; ; ;;;;
398. ;éteindre ;°dímàl ;dzə́mà;;ɛ̀-dímàl ; ;è-dímè ;ɟímə̀ ;à-dīmɔ̀ ;dzimnɡu (siəˤ);lè-dímô ; ;*dím ; ; ;;;;
399. ;éternuer ;°tèm ;tsə́mbə́lè;tsímɛlɛ;ɛ̀-tèè ; ;è-tœ̀œ̀ ; ; ;tsimlɛ ; ; ; ; ; ;;;;
400. ;étincelle ;°kâ ;ì-kə́ká / bìkə́ká;;kâ / bɛ̀kâ ;kə́ká / bòkə́ká ;kákâ / bìkákâ ;kə́kâ / ìkə́kâ; ; ; ; ; ; ; ;;;;
401. ;étoile ;°cónÍcónÍ ;ì-kyɛ́nìkyɛ́nè / bìkyɛ́nìkyɛ́nè;;kɥékɥén / ìkɥékɥén ;ǎ-cícéné / bǎcícéné ;cwícwén / òcwícwén ;àcɛ́ncə́nî / wàcɛ́ncə́nî;cɔ̄cɔ́ní; ;cwícwɛ́n; ; ; ; ;;;;
402. ;étranger ;ɟÔŋ ;ŋ̀-ɟə́ŋɡə̀ / bə̀ɟə́ŋɡə̀;n-gyɛ̰̂ / bagyɛ̰̂;n-ɟôŋ / bɛ̀ɟôŋ ;nɟóŋ / bònɟóŋ ;n-ɟwóò / òɟóò ;n-ɟôŋ / òɟôŋ ;n-ɟɛ̄ɔ̀ŋ;nɟɔŋ / bɔnɟɔŋ ;n-ɟjóò ;ǹ-ɟû  / bə̀nɟû; ; ; ;;;;
403. ;être ;°bɛ̀(À) ;bə̀;bɛ̀; ;bò ; ;bə̀ ;à-ɓɛ̀ ; ;lè-bè ; ;*bá ; ; ;;;;
404. ;éviter ;°sáKálà ;sə́ʔə̀lə̀;; ; ; ; ;à-sáɡálɔ̀ ;saˤlɛ ;lè-sjɔ́hlô; ; ; ; ;;;;
405. ;excrément ;°síɡá ;ʃwáʔà / màʃwáʔà;;ì-ʃjá ; ;bì-síʔé ;ʃíɡə́ / mə̀ʃíɡə́;à-sīɡɔ̄ ; ; ; ; ; ; ;;;;
406. ;fabriquer, tailler ;°kwàK ;;;ɛ̀-kwà ; ;è-kpàʔ ; ; ;cɥaˤ ;lè-kwàʔ ; ; ; ; ;;;;
407. ;faible ;°tɛ̀K ;;n-tɛ̀gá / mintɛ̀gá;ɛ̀-tjà / mɛ̀tjà ; ;è-tjɛ̀ʔ;tàɡ ; ;tiaˤ ;lè-cjɛ̀ʔ; ;*tèk ; ; ;;;;
408. ;faim ;°(N-)ɟà ;zà / màzà;ndzà / mandzà;zà / mɛ̀zà ;ncà ;nzà ;ʒà / mə̀zàh;ncà ;nza ;nsà ;ǹ-ʒà ;*jàdà ; ; ;;;;
409. ;faire ;°sâ ;sá;sâ;ɛ̀-sâ  ;sá ;è-sâ ;sâ ;à-sâ ; ;lè-sâ ;ʃá ; ;*cád (ABCH) ; ;;;;
410. ;femelle ;°ɟálV ;m̀-myálə̀ / mìmmyálə̀;m-wálɛ́ / mimwálɛ́;mj-ɛ́ltà / bɛ̀lɛ̀tá ;mjɔ́l / mèmjɔ́l ;m-jɛ́l / mìmjɛ́l;ɟòòlú / ìɟòòlú ; ;mialɛ ; ; ;*jàdɩ́ ; ; ;;;;
411. ;femme 1 ;°(m)á ;;;mùmá / bòá ; ;m-ʊ̀má / bʊ̀bá ; ; ; ;m-ʊ̀má; ; ; ; ;;;;
412. ;femme 2 ;°(Ù)Tá ;m-ùrá / bùrá ;m-ùdâ̰ / bùdâ̰; ;m-wàrá / bwàrá ; ; ; ;m-ura / bura ; ;m-ùrá / bùrá ; ; ; ;gyeli suggère une nasale;;;
413. ;fendre ;°bô ;;;ɛ̀-bô ; ;è-bʊ̂ ; ;à-ɓô ; ;lè-bʊ̂ ; ; ;*búk (ACD) ; ;Possible de faire un cognat avec swo et gyeli;;;
414. ;fenêtre (emprunt anɡlais) ;;vúndè / màvúndè;wúndɛ̀ / bawúndɛ̀; ;vúndə̀ ;wínì / bìwínì ;vúndè ; ;wundi / bɔwundi ;wɩ́nɩ̀; ; ; ; ;;;;
415. ;fer ;°(N-)ɡónV̀ ;;;g̥wôz / ìɡwôz ;nkwə̀nɟ ;nkóhò / bìnkóhò ;nkwánz / ìnkwánz ;nkōnɟɔ̀ ; ;nkwôh ; ;*jʊ̀ndò ; ; ;Possible de faire un cognat avec swo et gyeli;;;
416. ;fermer ;°dìbàlà ;;jìbɔ ;ɛ̀-dìwàl ; ;è-dìbè ;ɟìwàl ;à-dìbɔ̀lɔ̀;dziɔ ;lè-dìblò ; ;*dìb ; ; ;;;;
417. ;fesse ;°bénà ;;bénó / bebénó;bjén / b̥jén ;bán / mòmpán;béné / bìbéné ;bán / ìbán ; ;bina ;bjén ;bínə́ / bìbínə́; ; ; ;;;;
418. ;feu 1 ;°û ;;;d-û / mû ; ; ;ɟû / mə̀ɟû;dû ; ; ; ;*jíjà ; ; ;;;;
419. ;feu 2 ;°siKà ;;síyɛ̀ / besíyɛ̀; ; ;sìʔè / bìsìʔè ; ; ; ;sìɡò ;sə̀ʔ / bə̀sə̀ʔ;*cìnɡ ; ; ;gyeli : emprunt kwasio;;;
420. ;feuille ;°ká ;ì-kā / bìkā;le-ká / maká;ká / ìká ;ká / bèká ;ká / bìká ;ká / ìká;kā ;ka / maka ;ká ;ká / bìká ; ;*kájá (ABCHLR); ;;;;
421. ;feuille de raphia ;°bǒ ;(ìká ') búú / bìká bíbùù;jímbɔ́ / mímbɔ́ ~ kfúlɛ̰́ɛ̰́ / bekfúlɛ̰́ɛ̰́; ; ;è-bʊ̌ / mèbʊ̌ ; ;à-ɓǒ ; ;lè-bʊ̌ ; ; ; ; ;;;;
422. ;fièvre, froid ;°ɟÔŋ ;yúò / màyúò;le-dyṵ̂ / madyṵ̂;ɛ̀-ɡjôw ;è-jôŋ ;è-ɟwóò ;jôŋ / mə̀jôŋ;à-wīɔ̀ŋ;(pil) joo / bɔpil bɔ joo ;lè-ɟjóò ;jô ; ; ; ;;;;
423. ;filet ;°ɡóT(è) ;wáɾə̀ / màwáɾə̀;wáádɔ́ / mawáádɔ́;ɛ̀-ɥét ;è-wûd / mòwûd ; ;wód / mə̀wód; ; ; ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
424. ;fin ;°sí(j)a ;mà-sə́lì;le-fwálá / mafwálá; ;síjé ;è-síé / mèsíé ; ;à-sīɔ̀ ; ;lè-síó ; ;*cíd ; ; ;;;;
425. ;finir ;°síl;sə́lì;sílɛ;ɛ̀-ʃílàl ;síl ;è-sîl ;ʃínàl ;à-sīlì ;sil ;lè-sîl ;sílì ;*cíd ; ; ;;;;
426. ;flamme ;°ɟòlÌ ;ŋ̀-ɡùlù / mìŋɡùlù;n-yùlɛ̀ / minyùlɛ̀;n-ɡɥèl / mìnɡɥèl ;n-ɟɛ̀lɛ̀ ;n-ɟʊ̀l / mìnɟʊl̀ ;n-ɡwìljè / mìnɡwìljè ;n-ɡwòlì ;n-ɟul / minɟul ;n-ɟʊ̀l ; ; ; ; ;;;;
427. ;fleur ;°(N-)ɟàmV́;sám / màsám;;zɛ̀m (ílè) / mɛ̀zɛ̀m ílè ;ncɔ̀mb / mə̀ncɔ̀mb ;nzɔ̌m / mènzɔ̌m ;zòòmú / mə̀zòòmú;ncàmī ;nzam ;n-sɔ̌m;ʒàmé  ; ; ; ;;;;
428. ;foie ;°sɛ́KV̀;ì-sə́ʔ / bìsə́ʔ;sɛ́Kɛ̀ / besɛ́Kɛ̀;ʃjêk / ìʃjêk ; ;swôʔ / bìswôʔ ; ;sɛ̄ɡī ;səˤ / bisəˤ ; ;ʃêʔ  ; ; ; ;;;;
429. ;folie ;°mjân ;;;mjân ;mjàn ;mjɛ̂n; ; ; ;mwɛ̂n; ; ; ; ;;;;
430. ;fontanelle ;°bɔ̀bɔ̂lV ;bùúlù / màbùúlù;;ɛ̀-bóbôl / mɛ̀bóbôl ;bùbûl ;è-bòbôl / mèbòbôl ; ; ;bvubɛlɛ / bibvubɛlɛ ;lè-bòbôl ; ; ; ; ;;;;
431. ;force ;°(N-)ɡùlÌ ;ŋ̀-ɡvùlú / mìŋɡvùlú;ngvúlɛ̀ / mangvúlɛ̀;g̥ɥìl / mɛ̀g̥ɥìl;n-kùl / mùkùl ;nkùl / mènkùl ;nkùl / mə̀nkùl;nkùlì; ;nkùl ;ǹ-kfílì ; ;*ɡùdì (AB) ; ;;;;
432. ;forêt ;°dìKV́ ;ì-dzə̀ɡə̀ / bìdzə̀ɡə̀;jìí / bejìí;dík / mɛ̀d̥ík ;dùɡ ;dwǐʔ / mèntwǐʔ ;ɟùɡú / ìɟùɡú ;dìɡī ;dziəˤ / bidziəˤ ;diʔí ;dzə́ʔ / bìdzə́ʔ; ; ; ;;;;
433. ;forêt vierge ;°kòmbV̀ ;ɡwùmbə̀ (ídzə̀ɡə̀) / màɡwùmbə̀ mídzə̀ɡə̀;;ɛ̀-kwòm / mɛ̀kwòm ;lè-kwàmb / mòkwàmb ;è-kòmò / mèkòmò ;mə̀-kwàmb; ; ;lè-kwòm ; ; ; ; ;gyeli : bosquet;;;
434. ;forger ;°lúlÀ ;lúlə̀;;ɛ̀-lûl ; ;è-lúlò ;lúlə̀ ; ; ;lè-lúlô ; ;*túd ; ; ;;;;
435. ;forgeron ;°lúlV̀ ;ǹ-lúlə̀ / bə̀lúlə̀;;lúlìl (ɛ̀ɡòmá) / bɛ̀lúlìl ɛ́ɡòmá;lûl / mə̀lûl ;lûl / òlûl ;àlúlə̀ / wàlúlə̀; ; ;lûl ; ;(*túd) ; ; ;;;;
436. ;fossé ;°bóKÌ ;ì-bē / bìbē;; ;bwîɡ ;bɩ́ʔ / òbɩ́ʔ;bwíɡ / ìbwíɡ ; ;bi / bibi ;bwɩ́ʔɩ́; ; ; ; ;;;;
437. ;fourchette ;°sɛ̂s;;;ɛ̀-sɛ̂s / mɛ̀sɛ̂s ; ;è-sjɛ̀h / mèsjɛ̀h; ; ; ;lè-sɛ̀h; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
